                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.5732,                   1.25,                  1.322,                0.81942,                0.59452,                0.67038,                0.44855,                 1.6237,                 1.3113,                 1.3712,               0.003367,               0.003367,               0.003367
                     69,                 1.5649,                 1.2438,                  1.319,                0.82226,                0.59486,                0.67141,                0.45017,                 1.6194,                 1.3052,                 1.3682,               0.003268,               0.003268,               0.003268
                     70,                 1.5592,                 1.2339,                 1.3132,                0.82112,                0.59741,                0.67308,                0.45219,                 1.6151,                  1.299,                 1.3653,               0.003169,               0.003169,               0.003169
                     71,                 1.5476,                 1.2228,                 1.3091,                0.81976,                0.59878,                0.67436,                0.45352,                 1.6104,                 1.2929,                 1.3621,                0.00307,                0.00307,                0.00307
                     72,                 1.5451,                 1.2189,                 1.3073,                0.81986,                0.60052,                0.67575,                0.45563,                 1.6056,                 1.2869,                  1.359,               0.002971,               0.002971,               0.002971
                     73,                 1.5378,                 1.2116,                 1.3053,                0.82167,                0.60198,                0.67748,                0.45733,                 1.6006,                 1.2808,                 1.3559,               0.002872,               0.002872,               0.002872
                     74,                 1.5325,                  1.205,                 1.3006,                 0.8203,                0.60439,                0.67874,                0.45939,                  1.596,                  1.275,                 1.3528,               0.002773,               0.002773,               0.002773
                     75,                 1.5239,                 1.1977,                 1.2977,                0.81999,                0.60626,                0.68069,                0.46125,                 1.5915,                 1.2691,                 1.3499,               0.002674,               0.002674,               0.002674
                     76,                 1.5224,                 1.1933,                 1.2977,                 0.8226,                0.60778,                0.68224,                0.46287,                 1.5868,                 1.2631,                 1.3468,               0.002575,               0.002575,               0.002575
                     77,                 1.5118,                 1.1781,                 1.2874,                0.82356,                0.60917,                0.68412,                0.46497,                 1.5823,                  1.257,                 1.3438,               0.002476,               0.002476,               0.002476
                     78,                 1.5111,                 1.1803,                 1.2857,                0.82428,                0.61082,                0.68576,                0.46681,                 1.5776,                 1.2509,                 1.3407,               0.002377,               0.002377,               0.002377
                     79,                 1.4967,                 1.1656,                 1.2815,                0.82889,                0.61106,                0.68749,                0.46851,                 1.5729,                 1.2449,                 1.3377,               0.002278,               0.002278,               0.002278
                     80,                 1.4893,                 1.1543,                 1.2744,                0.82906,                  0.613,                0.68903,                0.47006,                 1.5683,                 1.2389,                 1.3346,               0.002179,               0.002179,               0.002179
                     81,                 1.4852,                 1.1509,                 1.2737,                 0.8281,                0.61587,                0.69043,                0.47193,                  1.564,                 1.2329,                 1.3317,                0.00208,                0.00208,                0.00208
                     82,                 1.4768,                 1.1465,                  1.271,                0.82993,                0.61651,                0.69182,                 0.4736,                 1.5594,                 1.2272,                 1.3287,               0.001981,               0.001981,               0.001981
                     83,                 1.4745,                 1.1369,                 1.2669,                0.83046,                0.61841,                0.69341,                 0.4756,                 1.5549,                 1.2216,                 1.3257,               0.001882,               0.001882,               0.001882
                     84,                 1.4652,                 1.1326,                 1.2652,                0.82893,                0.62077,                0.69485,                 0.4773,                 1.5503,                 1.2157,                 1.3227,               0.001783,               0.001783,               0.001783
                     85,                 1.4631,                 1.1276,                 1.2624,                0.83115,                 0.6222,                0.69626,                0.47898,                 1.5461,                 1.2101,                 1.3199,               0.001684,               0.001684,               0.001684
                     86,                 1.4537,                 1.1173,                 1.2563,                0.83217,                0.62369,                0.69774,                0.48103,                 1.5415,                 1.2046,                  1.317,               0.001585,               0.001585,               0.001585
                     87,                 1.4427,                 1.1067,                 1.2514,                0.83291,                0.62435,                0.69903,                0.48286,                 1.5371,                 1.1993,                 1.3142,               0.001486,               0.001486,               0.001486
                     88,                 1.4398,                 1.1083,                 1.2502,                0.83609,                0.62547,                0.70077,                0.48486,                 1.5324,                 1.1937,                 1.3112,               0.001387,               0.001387,               0.001387
